IDTerminal;NOTerminal
0;Não Informado
3;Terminal de Passageiros
4;Píer Petroleiro
11;Cais Público
12;Píer Público
13;Copesul
14;Adubos Trevo
15;Tergrasa
16;Termasa
17;Ceval
18;Bianchini
19;Terminal Bunge
20;TECON
21;Distrito Naval
31;TUPs Santos
55;TECON
56;Cais Público
57;TECON
61;Terminal Siderúrgico
64;Cais Público
73;Cais Público
77;Cais Público
78;Cais Marcilio Dias
79;Cais Mauá
80;Cais Navegantes
101;Cais Público
105;Cais Público
106;TUP Guamaré - PETROBRAS
108;Cais Público
109;TEBAR
110;Barra do Riacho
111;Cais Público
112;Cais Público
113;Cais de Uso da CODERN
116;Roadway Cais Público
117;Rabelo Indústria e Comércio LTDA
118;Tocantins Mineração S/A
119;Silnave Navegação S/A
120;Yara Fertilizantes
125;Terminal de Multiplo Uso 1
126;Terminal Açucareiro
127;Terminal de Granéis Líquidos
128;Terminal Mita
129;Barra do Rio Terminal Portuário
130;Terminal Portuário de Presidente Epitácio
131;Terminal de Barcaças Oceânicas
132;Terminal Ponta da Montanha
133;Terminal Portuário Wellstream - TPW
134;Terminal Aquaviário de São Sebastião (Almirante Barroso)
135;Itajahy Multi Porto
136;Bertolini - Santarém
137;Santa Helena
138;Bianchini Canoas
139;Mac Laren Estaleiros
140;Cargill Agrícola
141;Terminal Aquaviário de Guamaré
142;Porto CRA
143;Bertolini - Belém
145;Terminal Aquaviário de Madre de Deus
147;UTC Engenharia
148;Terminal de Barcaças Luciano Villas Boas Machado
149;Terminal Marítimo de Ponta da Madeira
150;Ocrim
151;Terminal Portuário Porto Pontal - TPPP
152;Terminal de Tubarão
153;Terminal Marítimo Privativo de Cubatão - TMPC
154;Terminal Marítimo Miguel de Oliveira
155;Ibepar
156;Terminal Aquaviário da Ilha D'Água
157;Terminal Aquaviário de Ilha Redonda e Terminal Aquaviário da Ilha Comprida
158;Terminal Aquaviário de São Francisco do Sul
159;Belmont
160;Terminal Marítimo Ponte do Thun
161;Estaleiro Brasfels
162;Teporti
164;Terminal Aquaviário de Niterói
165;Super Terminais Comércio e Indústria
166;Terminal Hermasa Navegação da Amazônia
167;Terminal de Praia Mole
168;Terminal Sanave de Manaus
169;Terminal Portuário Privativo da Alumar
170;Portonave - Terminais Portuários de Navegantes
171;Terminal Aquaviário de Osório
172;Terminal Hidroviário de Porto Murtinho
173;Terminal Docas de Mato Grosso
174;Terminal Portuário Cotegipe
175;J. F. de Oliveira - Manaus
176;Cimento Vencemos
177;Terminal Marítimo Ponta Ubu
