IDAtributoQuestionario;IDIndicadorEspecificoQuestionario;DSAtributoQuestionario;NOAtributoQuestionario;NRPeso
1;1;A instalação portuária possui Licença de Operação válida e vigente.;N3;12,59039418
2;1;A instalação portuária ainda não possui Licença de Operação, mas existe processo de licenciamento para regularização, o empreendedor já entregou ao órgão ambiental licenciador o estudo ambiental exigido e atualmente aguarda manifestação do mesmo.;N2;2,42002029
3;1;A instalação portuária não possui Licença de Operação.;N1;0
8;2;Acima do número mínimo de profissionais no Núcleo Ambiental.;N3;3,540049473
9;2;Possui o número mínimo de profissionais no Núcleo Ambiental.;N2;1,925700038
10;2;Abaixo do número mínimo de profissionais no Núcleo Ambiental.;N1;0
11;3;Mais de 50% dos funcionários participaram de treinamento/capacitação.;N3;1,746619828
12;3;Menos de 50% dos funcionários participaram de treinamento/capacitação.;N2;0,460290292
13;3;Não participaram de treinamento/capacitação ou não foi atingido o mínimo de horas/pessoa.;N1;0
15;4;A auditoria ambiental foi realizada até dois anos atrás.;N3;5,379711836
16;4;A auditoria ambiental foi realizada há mais de dois anos atrás.;N2;1,417726452
17;4;Nunca foi realizada auditoria ambiental.;N1;0
18;5;Existe banco de dados com atualização mínima semestral.;N3;1,727190873
19;5;Existe banco de dados, mas não há atualização mínima semestral.;N2;0,45517014
20;5;Não existe banco de dados.;N1;0
21;6;Atende todos os planos/programas listados abaixo.;N5;11,56238481
22;6;Atende quatro dos planos/programas listados abaixo.;N4;6,661841377
23;6;Atende três dos planos/programas listados abaixo.;N3;3,659140104
24;6;Atende dois dos planos/programas listados abaixo.;N2;1,058967051
25;6;Atende um dos planos/programas listados abaixo.;N1;0
27;7;Nenhum acidente ambiental.;N5;3,870120688
28;7;De um a três acidentes ambientais dentro do limite da área da instalação portuária.;N4;1,429044381
29;7;Acima de três acidentes ambientais dentro do limite da área da instalação portuária.;N3;0,797217878
30;7;De um a três acidentes ambientais além dos limites da área da instalação portuária.;N2;0,168073614
31;7;Acima de três acidentes ambientais além dos limites da área da instalação portuária ou não é realizado o registro de acidentes.;N1;0
32;8;Atende todas as opções listadas.;N5;6,362473903
33;8;Atende três das opções listadas.;N4;3,665834739
34;8;Atende duas das opções listadas.;N3;2,013527814
35;8;Atende uma das opções listadas.;N2;0,5827215
36;8;Não há retirada de resíduos dos navios na instalação portuária.;N1;0
38;9;Atende todas as ações listadas.;N5;3,181236951
39;9;Atende três das ações listadas.;N4;1,832917369
40;9;Atende duas das ações listadas.;N3;1,006763907
41;9;Atende uma das ações listadas.;N2;0,29136075
42;9;Não atende nenhuma das ações listadas.;N1;0
45;10;Atende todas as opções listadas.;N3;1,503026407
46;10;Atende duas das opções listadas.;"N2 ";0
47;10;Não atende qualquer das opções listadas.;N1;0
48;11;Sim, utilizada em atividades operacionais e administrativas.;N3;0,449711874
49;11;Sim, utilizada somente em atividades administrativas.;N2;0,163638656
50;11;Não há geração de energia limpa e renovável pela instalação portuária.;N1;0
51;12;Dispõe de sistema OPS.;N3;0,1794076
