IDRespostaAvaliador;IDResposta;IDAtributoQuestionario;IDUsuarioResposta;DSResposta;DTResposta;CDInstalacaoPortuaria;TPRespAtribQuestionario
4;40265;5548;4564;FE012742 (renov,);2019-07-29 15:16:30.113;"236    ";"0         "
7;51618;5572;4442;NULL;2019-07-30 16:31:01.237;"131    ";"0         "
8;36797;4496;4759;NULL;2019-07-30 16:59:49.207;"SSA    ";"0         "
12;51624;5619;4564;Executa de modo frequente ações de conscientização e capacitação técnica dos profissionais da instalação em temas de meio ambiente e sustentabilidade;2019-08-02 13:24:54.687;"131    ";"1         "
13;37101;5648;4564;Há medidas de mitigação da poluição por gases e particulados.;2019-08-02 13:32:49.080;"275    ";"1         "
14;37140;5652;4564;Existe norma com procedimento interno referente ao gerenciamento de resíduos gerados pelas áreas administrativa e operacional, incluindo os perigosos.;2019-08-02 13:33:08.593;"275    ";"1         "
15;37140;5655;4564;NULL;2019-08-02 13:33:28.500;"275    ";"0         "
16;37101;5645;4564;NULL;2019-08-02 13:33:44.793;"275    ";"0         "
18;50163;4497;4442;143/2016;2019-08-08 15:28:34.740;"FOR    ";"0         "
20;52192;4536;4564;As cargas perigosas em terminais, pátios e armazéns, são devidamente segredadas, incluindo áreas específicas para disposição de contêineres avariados;2019-08-12 14:48:35.293;"SSA    ";"1         "
22;42033;5608;4564;NULL;2019-08-14 12:05:31.107;"192    ";"0         "
23;42044;5651;4564;NULL;2019-08-14 12:05:41.137;"192    ";"0         "
25;52194;5652;4564;O PGRS foi aprovado pelo órgão ambiental.;2019-08-14 12:19:34.907;"357    ";"1         "
26;52195;5652;4564;Há promoção de campanhas periódicas para incentivar o gerenciamento de resíduos gerados pela instalação e empresas que atuam na instalação.;2019-08-14 12:19:34.907;"357    ";"1         "
27;52196;5652;4564;Existe norma com procedimento interno referente ao gerenciamento de resíduos gerados pelas áreas administrativa e operacional, incluindo os perigosos.;2019-08-14 12:19:34.920;"357    ";"1         "
28;37917;5653;4564;NULL;2019-08-14 12:20:16.727;"357    ";"0         "
29;36812;4531;2544;NULL;2019-08-14 15:07:14.223;"SSA    ";"0         "
30;36802;4515;2544;NULL;2019-08-14 15:08:04.923;"SSA    ";"0         "
31;38673;4691;2544;NULL;2019-08-14 15:11:29.223;"ARB    ";"0         "
33;52199;5570;4483;Plano de Área;2019-08-14 16:18:55.910;"203    ";"1         "
