IDResposta;NRPeso;NOAtributoQuestionario
38233;12,59039418;N3
36797;0;N1
38241;3,540049473;N3
36802;6,661841377;N4
36812;3,181236951;N5
38673;6,661841377;N4
38692;4,956450125;N5
54850;3,540049473;N3
52761;0;N1
57058;0;N1
55963;0;N1
54851;1,746619828;N3
57245;5,379711836;N3
52798;0;N1
56026;0;N1
55754;6,661841377;N4
55723;6,661841377;N4
60699;1,058967051;N2
59280;3,665834739;N4
52809;0;N1
60706;0;N1
52814;3,181236951;N5
57089;3,181236951;N5
59142;1,832917369;N4
56889;1,832917369;N4
60712;0,29136075;N2
53605;0;N1
60716;0;N1
56115;0;N1
57249;0,449711874;N3
56166;0;N1
55994;5,970455341;N5
57165;0,49;N2
60725;0;N1
60560;0,203819368;N4
60728;0;N1
57172;0;N1
59938;0,105658791;N2
59936;0,105658791;N2
55972;0;N1
56451;0;N1
60729;0;N1
57173;0;N1
60730;0;N1
57193;0,277550548;N3
57251;0,126856262;N3
60746;0;N1
54394;0;N1
54400;0;N1
57238;4,956450125;N5
55964;0,41;N2
60752;0;N1
57246;0,826075021;N5
55219;1,02;N4
60759;0;N1
55090;0;N1
59945;0,068742829;N2
58891;0;N1
57248;0;N1
57250;0;N1
56514;1,101805927;N5
60768;0,059214839;N2
57247;0,059214839;N2
59110;0;N1
59721;0;N1
59482;2,52059979;N3
59137;2,52059979;N3
58894;0;N1
53625;0,928956092;N3
57218;0;N1
59484;0,356035959;N2
59329;0,356035959;N2
56185;0;N1
60777;0;N1
59581;5,498752108;N4
59941;0,105658791;N2
53091;0;N1
54528;0;N1
54435;0;N1
58702;0;N1
58696;0;N1
59626;0,106424822;N2
59634;0,25785511;N2
52544;0,25785511;N2
60288;0;N1
59929;0,356035959;N2
58859;2,897060654;N2
52626;2,305298777;N2
58868;0,551023849;N2
52636;0;N1
59262;7,179028756;N5
52792;0,59;N2
57138;0;N1
53192;0;N1
53216;0,11;N2
59503;3,665834739;N4
59508;1,832917369;N4
59939;0,105658791;N2
59558;0,356035959;N2
55687;4,23787275;N3
55688;0;N1
57287;0;N1
56136;0,170998791;N3
56079;0,106424822;N2
55340;1,697192185;N2
55404;0;N1
55514;0;N1
55521;0;N1
55553;0;N1
55600;0;N1
55605;0;N1
55606;0;N1
55610;0;N1
55621;0;N1
55671;0;N1
55677;0,72946978;N2
62610;12,59039418;N3
68136;3,540049473;N3
62775;0;N1
62372;0,460290292;N2
66665;0;N1
64536;0;N1
63289;0;N1
68901;0;N1
66493;0;N1
62344;6,661841377;N4
62433;6,661841377;N4
63629;3,659140104;N3
66673;3,659140104;N3
67814;3,659140104;N3
68903;3,665834739;N4
63396;0;N1
67257;3,181236951;N5
63397;3,181236951;N5
68228;1,832917369;N4
62272;0,55;"N2 "
62941;0;N1
69678;0;N1
64561;0;N1
64562;0,449711874;N3
62986;0,163638656;N2
69679;0;N1
64492;0;N1
62464;0;N1
64184;0;N1
62284;0,089028353;N3
69338;0,028168428;N2
65570;0,028168428;N2
63309;0;N1
69743;0;N1
66705;0;N1
65571;0;N1
62120;0;N1
68373;0;N1
68562;0;N1
66707;0;N1
65573;0;N1
62287;0;N1
62297;1,516842941;N5
63586;0,126856262;N3
63495;0;N1
69049;0,346786485;N4
67556;0;N1
67187;1,17;N3
69807;1,17;N3
65608;1,17;N3
68571;0,41;N2
69681;0;N1
62305;0,826075021;N5
68566;0,47595551;N4
68579;0,075657941;N2
63276;1,02;N4
68595;1,02;N4
63001;0,823647994;N4
69318;0;N1
69683;0;N1
70071;0,156624752;N3
69682;0,156624752;N3
62549;0,232161534;N2
67175;0;N1
69383;0,059214839;N2
70073;0;N1
69680;0;N1
69723;0;N1
69329;0,367268642;N3
70074;0,106424822;N2
65639;0,25785511;N2
68742;1,691260229;N4
63312;0;N1
69047;0;N1
65640;0;N1
67437;0,356035959;N2
65641;0,356035959;N2
68908;0;N1
62499;6,661841377;N4
62500;6,661841377;N4
62396;0,55;"N2 "
62055;0,55;"N2 "
69386;0;N1
69466;0,074078302;N2
62448;0,074078302;N2
69387;0;N1
62406;0,300511017;N5
62065;0,203819368;N4
61544;0;N1
62409;0;N1
62449;0;N1
69510;0,032079518;N2
62510;0,346786485;N4
62086;0,346786485;N4
62542;0,232161534;N2
62192;0,232161534;N2
69516;0;N1
64260;0;N1
62503;4,164002384;N3
62541;0;N1
65456;0;N1
64868;0;N1
64872;0;N1
67589;0;N1
67629;0;N1
68835;0;N1
69343;0,028168428;N2
69051;0;N1
68848;0;N1
68849;0;N1
68868;0;N1
68875;0;N1
69519;0;N1
68884;0;N1
69045;0;N1
68893;0,356035959;N2
63585;0,364069808;N5
66385;0;N1
64123;2,46;N5
62943;1,697192185;N2
62947;0;N1
