IDResposta;NRPeso;NOAtributoQuestionario
45049;0;N1
45050;0;N1
45051;1,697192185;N2
38544;7,580995149;N4
45054;1,205075837;N2
51618;1,62621382;N4
44418;0;N1
42033;0;N1
45244;0;N1
36058;0;N1
44415;0;N1
35733;1,691036524;N3
45063;0;N1
45266;0;N1
39997;6,369456131;N4
38548;1,01248946;N2
45059;0;N1
38550;0,65;"N2 "
35727;0,65;"N2 "
45060;0;N1
51487;0;N1
45072;0;N1
51940;0,170998791;N3
51967;0,170998791;N3
37101;0,170998791;N3
38573;0,059214839;N2
39211;0,059214839;N2
38275;0,72946978;N2
39213;0,72946978;N2
45075;0;N1
42044;0;N1
45079;0;N1
37917;7,964752347;N5
37140;2,52059979;N3
45080;0,72946978;N2
45085;0;N1
45098;0;N1
57895;15,07224371;N3
54198;15,07224371;N3
60505;2,897060654;N2
58927;0;N1
56473;2,305298777;N2
60794;2,305298777;N2
53505;0;N1
57283;0;N1
53644;0;N1
55739;0;N1
58501;0;N1
59179;0;N1
60960;0;N1
54932;0,551023849;N2
57665;0,551023849;N2
58370;0,551023849;N2
52553;0,551023849;N2
58970;0,551023849;N2
53268;0,551023849;N2
52669;0,551023849;N2
56167;0;N1
53506;0;N1
59299;0;N1
57284;0;N1
60414;0;N1
56529;0;N1
54323;0;N1
60961;0;N1
59962;6,440173894;N3
60932;1,697192185;N2
57420;0;N1
59301;0;N1
57286;0;N1
54250;0;N1
60797;0;N1
54325;0;N1
57583;0,517971297;N2
60845;0,517971297;N2
55779;0;N1
57288;0;N1
58308;0;N1
54990;7,580995149;N4
54764;7,580995149;N4
56649;7,580995149;N4
59684;7,580995149;N4
61035;7,580995149;N4
53948;4,164002384;N3
53654;4,164002384;N3
53481;4,164002384;N3
55786;1,205075837;N2
57295;1,205075837;N2
53246;1,205075837;N2
58544;1,205075837;N2
54327;1,205075837;N2
56951;1,205075837;N2
59308;0;N1
52893;0,191263223;N2
60846;11,0549169;N5
58387;6,369456131;N4
54220;6,369456131;N4
57305;3,498542077;N3
53220;3,498542077;N3
60400;3,498542077;N3
60561;3,498542077;N3
56137;0;N1
58142;0;N1
58551;0;N1
59408;0;N1
53491;0;N1
60402;0;N1
61378;0;N1
54462;0;N1
59319;0;N1
56120;0;N1
59070;0;N1
54226;0;N1
60443;0;N1
57322;0;N1
55809;0,65;"N2 "
57309;0,65;"N2 "
61171;0;N1
59986;0;N1
58212;0,087405917;N2
59449;0;N1
54808;0;N1
54915;0;N1
61045;0;N1
61278;0;N1
59341;0;N1
58596;0;N1
59210;3,7;N4
54104;3,7;N4
53232;1,69;N3
54436;0;N1
56770;0;N1
54388;0;N1
54339;0;N1
58275;0;N1
59005;0;N1
52654;0;N1
54340;0;N1
61173;0;N1
61067;0;N1
57454;0;N1
54725;0;N1
54618;0;N1
55929;0;N1
60666;1,783570522;N3
59883;0,238245778;N2
52699;0,238245778;N2
60471;0;N1
52653;0;N1
55833;0;N1
61033;0;N1
54726;0;N1
54630;0;N1
55380;0;N1
57947;0;N1
60581;0;N1
60324;0;N1
54341;0;N1
60333;0;N1
54342;0;N1
54037;0;N1
61042;0;N1
60018;0;N1
54727;0;N1
54632;0;N1
55932;0;N1
58195;0;N1
55381;0;N1
60583;0;N1
60638;0;N1
58049;0;N1
55835;0;N1
59459;0;N1
60519;0;N1
60171;0;N1
53731;0;N1
60628;0,958285627;N3
58406;0,128005875;N2
52588;0,128005875;N2
59884;0,128005875;N2
52700;0,128005875;N2
54343;0,677610265;N5
59460;0,259181098;N4
60520;0,259181098;N4
60479;0;N1
55943;0;N1
58197;0;N1
53446;0;N1
60597;0;N1
54090;0;N1
54543;0;N1
59461;0;N1
57346;0;N1
59410;0;N1
56779;0;N1
54348;0;N1
58849;2,552180338;N4
59088;1,17;N3
52707;1,17;N3
52652;0,41;N2
60917;2,478225063;N5
60298;2,478225063;N5
58415;1,427866529;N4
52596;1,427866529;N4
54021;1,427866529;N4
60489;1,427866529;N4
52993;0,78428221;N3
55862;0,78428221;N3
59089;0,226973823;N2
53741;0;N1
56780;0;N1
54349;0;N1
53242;0,823647994;N4
59032;0,823647994;N4
59219;0,823647994;N4
54022;0,823647994;N4
55271;0,38227129;N3
55863;0,38227129;N3
52709;0,38227129;N3
59463;0;N1
57348;0;N1
60490;0;N1
54350;0;N1
54421;0;N1
57463;0;N1
54735;0;N1
54649;0;N1
60024;0,156624752;N3
59033;0,156624752;N3
54023;0,156624752;N3
57349;0;N1
54876;0,998742028;N3
56709;0;N1
58710;0;N1
56783;0;N1
54352;0;N1
54387;0;N1
59093;2,470679079;N5
53245;1,36965767;N4
52706;0,368436802;N4
60548;0,368436802;N4
60205;0,368436802;N4
54358;0,170998791;N3
58263;0;N1
56218;0;N1
56715;0;N1
58507;0;N1
56051;0;N1
59471;0;N1
56789;0;N1
61180;0;N1
54624;0,106424822;N2
58437;0,106424822;N2
56219;0;N1
60078;0;N1
55871;0;N1
61074;0;N1
60788;0;N1
60554;0;N1
60209;0;N1
59104;7,964752347;N5
58442;4,589011489;N4
53697;4,589011489;N4
58612;4,589011489;N4
52728;4,589011489;N4
57171;2,52059979;N3
56721;0,72946978;N2
54368;0;N1
60841;0,978458281;N3
52904;0,978458281;N3
60913;0,25785511;N2
60041;0;N1
59478;0;N1
53259;0;N1
54365;0;N1
61007;0;N1
54058;0;N1
61008;0;N1
60565;0;N1
60234;0;N1
59479;0;N1
53260;0;N1
59118;0;N1
56797;0;N1
54417;0;N1
54366;0;N1
61009;0;N1
60247;0,356035959;N2
59872;0,356035959;N2
60573;0,356035959;N2
54367;0;N1
63952;0;N1
68440;0;N1
64826;4,23787275;N3
62642;4,23787275;N3
63674;2,305298777;N2
65299;2,305298777;N2
66830;2,305298777;N2
68681;2,305298777;N2
66831;0;N1
69811;0;N1
66210;0;N1
68487;0,551023849;N2
65339;0,551023849;N2
69944;0;N1
67279;0,551023849;N2
68219;0,551023849;N2
68196;0,551023849;N2
67206;0;N1
65750;2,090917833;N3
67821;0,551023849;N2
67554;0,551023849;N2
67406;6,440173894;N3
67557;6,440173894;N3
67823;6,440173894;N3
64578;0;N1
66495;0;N1
65315;0;N1
65960;0;N1
69402;0;N1
65089;0;N1
69255;0,517971297;N2
66496;0;N1
68227;0;N1
69181;0;N1
69403;0;N1
68471;4,164002384;N3
67566;4,164002384;N3
64932;7,580995149;N4
64934;7,580995149;N4
