IDResposta;NRPeso;NOAtributoQuestionario
36624;12,59039418;N3
36624;12,59039418;N3
36624;12,59039418;N3
36624;12,59039418;N3
36624;12,59039418;N3
36624;12,59039418;N3
36624;12,59039418;N3
36624;12,59039418;N3
38233;12,59039418;N3
38233;12,59039418;N3
41305;12,59039418;N3
41305;12,59039418;N3
35401;12,59039418;N3
35401;12,59039418;N3
36797;2,42002029;N2
36797;2,42002029;N2
38233;0;N1
36798;3,540049473;N3
36798;3,540049473;N3
38241;3,540049473;N3
38241;3,540049473;N3
41329;3,540049473;N3
41329;3,540049473;N3
35405;3,540049473;N3
35405;3,540049473;N3
38241;3,540049473;N3
49755;0;N1
49755;0;N1
49755;0;N1
49755;0;N1
49755;0;N1
49755;0;N1
49755;0;N1
49755;0;N1
36799;1,746619828;N3
36799;1,746619828;N3
38243;1,746619828;N3
38243;1,746619828;N3
41350;1,746619828;N3
41350;1,746619828;N3
38243;1,746619828;N3
51692;0,460290292;N2
51692;0,460290292;N2
51692;0,460290292;N2
51692;0,460290292;N2
51692;0,460290292;N2
51692;0,460290292;N2
51308;0,460290292;N2
51308;0,460290292;N2
51692;0,460290292;N2
51692;0,460290292;N2
36631;5,379711836;N3
36631;5,379711836;N3
36631;5,379711836;N3
36631;5,379711836;N3
36631;5,379711836;N3
36631;5,379711836;N3
41425;5,379711836;N3
41425;5,379711836;N3
35408;5,379711836;N3
35408;5,379711836;N3
36631;5,379711836;N3
36631;5,379711836;N3
36800;1,417726452;N2
36800;1,417726452;N2
38244;0;N1
38244;0;N1
38244;0;N1
38248;1,727190873;N3
38248;1,727190873;N3
41473;1,727190873;N3
41473;1,727190873;N3
35410;1,727190873;N3
35410;1,727190873;N3
38248;1,727190873;N3
36633;0,45517014;N2
36633;0,45517014;N2
40218;0,45517014;N2
40218;0,45517014;N2
36633;0,45517014;N2
36633;0,45517014;N2
36633;0,45517014;N2
36633;0,45517014;N2
36633;0,45517014;N2
36633;0,45517014;N2
51767;11,56238481;N5
51767;11,56238481;N5
51767;11,56238481;N5
51767;11,56238481;N5
51767;11,56238481;N5
51767;11,56238481;N5
41511;11,56238481;N5
41511;11,56238481;N5
51767;11,56238481;N5
51767;11,56238481;N5
38249;6,661841377;N4
38249;6,661841377;N4
38249;6,661841377;N4
36802;3,659140104;N3
36802;3,659140104;N3
51310;1,058967051;N2
51310;1,058967051;N2
36651;3,870120688;N5
36651;3,870120688;N5
36806;3,870120688;N5
36806;3,870120688;N5
36651;3,870120688;N5
36651;3,870120688;N5
38260;3,870120688;N5
36651;3,870120688;N5
36651;3,870120688;N5
38260;3,870120688;N5
38260;3,870120688;N5
36651;3,870120688;N5
36651;3,870120688;N5
41533;0,168073614;N2
41533;0,168073614;N2
35416;0;N1
35416;0;N1
36653;6,362473903;N5
36653;6,362473903;N5
36807;6,362473903;N5
36807;6,362473903;N5
36653;6,362473903;N5
36653;6,362473903;N5
36653;6,362473903;N5
36653;6,362473903;N5
36653;6,362473903;N5
36653;6,362473903;N5
41577;6,362473903;N5
41577;6,362473903;N5
35417;6,362473903;N5
35417;6,362473903;N5
42647;2,013527814;N3
42647;2,013527814;N3
42647;2,013527814;N3
36812;3,181236951;N5
36812;3,181236951;N5
38278;3,181236951;N5
38278;3,181236951;N5
41610;3,181236951;N5
41610;3,181236951;N5
38278;3,181236951;N5
51764;1,832917369;N4
51764;1,832917369;N4
51764;1,832917369;N4
51764;1,832917369;N4
51764;1,832917369;N4
51764;1,832917369;N4
51764;1,832917369;N4
51764;1,832917369;N4
35418;0,29136075;N2
35418;0,29136075;N2
