Ano,Posição,Porto,IDA
2015,1,São Sebastião,99.37
2015,2,Itajaí,93.74
2015,3,Itaqui,89.32
2015,4,Suape,83.66
2015,5,Paranaguá,83.11
2015,6,Fortaleza,80.54
2015,7,Rio Grande,77.49
2015,8,São Francisco do Sul,73.65
2015,9,Angra dos Reis,70.78
2015,10,Santos,65.85
2015,11,Forno,65.17
2015,12,Niterói,64.42
2015,13,Imbituba,62.76
2015,14,Natal,61.03
2015,15,Itaguaí,60.74
2015,16,Recife,60.73
2015,17,Terminal Portuário do Pecém,57.85
2015,18,Vitória,55.72
2015,19,Belém,54.04
2015,20,Santarém,52.2
2015,21,Cabedelo,51.58
2015,22,Vila do Conde,50.55
2015,23,Rio de Janeiro,50.48
2015,24,Salvador,45.94
2015,25,Aratu,43.98
2015,26,Ilhéus,41.33
2015,27,Maceió,37.27
2015,28,Santana,37.06
2015,29,Porto Velho,22.22
2015,30,Porto Alegre,13.27
2016,1,São Sebastião,99.37
2016,2,Itajaí,98.35
2016,3,Paranaguá,94.97
2016,4,Suape,88.17
2016,5,Itaqui,83.82
2016,6,Fortaleza,82.0
2016,7,São Francisco do Sul,75.38
2016,8,Angra dos Reis,70.9
2016,9,Rio Grande,70.46
2016,10,Santos,68.74
2016,11,Niterói,68.03
2016,12,Terminal Portuário do Pecém,67.22
2016,13,Imbituba,65.77
2016,14,Vitória,62.08
2016,15,Itaguaí,61.2
2016,16,Natal,61.06
2016,17,Cabedelo,60.87
2016,18,Recife,58.83
2016,19,Belém,58.51
2016,20,Forno,58.17
2016,21,Santarém,53.56
2016,22,Rio de Janeiro,50.92
2016,23,Vila do Conde,49.25
2016,24,Salvador,44.73
2016,25,Aratu,41.43
2016,26,Maceió,36.8
2016,27,Porto Velho,32.98
2016,28,Ilhéus,32.01
2016,29,Porto Alegre,28.3
2016,30,Santana,28.03
2017,1,Paranaguá,98.58
2017,2,Itajaí,97.42
2017,3,São Sebastião,93.88
2017,4,Itaqui,89.87
2017,5,Suape,88.06
2017,6,Santos,84.64
2017,7,Fortaleza,83.91
2017,8,São Francisco do Sul,78.61
2017,9,Terminal Portuário do Pecém,77.53
2017,10,Rio Grande,77.26
2017,11,Imbituba,71.22
2017,12,Santarém,69.12
2017,13,Angra dos Reis,68.73
2017,14,Vitória,68.09
2017,15,Niterói,64.96
2017,16,Recife,63.74
2017,17,Belém,62.61
2017,18,Vila do Conde,62.42
2017,19,Itaguaí,56.64
2017,20,Forno,54.03
2017,21,Rio de Janeiro,53.72
2017,22,Cabedelo,53.14
2017,23,Maceió,51.27
2017,24,Salvador,48.41
2017,25,Natal,45.79
2017,26,Pelotas,44.39
2017,27,Ilhéus,42.43
2017,28,Aratu,40.81
2017,29,Porto Alegre,30.19
2017,30,Porto Velho,30.07
2017,31,Santana,26.87
2018,1,Itajaí,99.48
2018,2,Paranaguá,99.29
2018,3,Itaqui,95.48
2018,4,Terminal Portuário do Pecém,90.8
2018,5,Santos,83.32
2018,6,São Francisco do Sul,83.26
2018,7,São Sebastião,83.15
2018,8,Fortaleza,78.38
2018,9,Suape,77.05
2018,10,Imbituba,76.43
2018,11,Santarém,74.27
2018,12,Belém,71.29
2018,13,Vila do Conde,69.38
2018,14,Ilhéus,68.63
2018,15,Rio Grande,67.8
2018,16,Vitória,66.12
2018,17,Recife,65.82
2018,18,Salvador,63.2
2018,19,Aratu,61.73
2018,20,Maceió,55.54
2018,21,Cabedelo,51.44
2018,22,Niterói,46.7
2018,23,Forno,46.45
2018,24,Santana,46.0
2018,25,Porto Velho,42.15
2018,26,Angra dos Reis,41.96
2018,27,Itaguaí,41.42
2018,28,Pelotas,36.21
2018,29,Porto Alegre,33.27
2018,30,Rio de Janeiro,32.63
2018,31,Natal,24.72
2019,1,Itajaí,99.47
2019,2,Paranaguá,98.65
2019,3,Itaqui,97.15
2019,4,Santos,94.28
2019,5,Terminal Portuário do Pecém,93.32
2019,6,Santarém,87.68
2019,7,São Francisco do Sul,86.57
2019,8,Suape,85.4
2019,9,Belém,83.82
2019,10,Vila do Conde,82.77
2019,11,São Sebastião,82.59
2019,12,Aratu,81.66
2019,13,Imbituba,79.17
2019,14,Rio Grande,76.1
2019,15,Fortaleza,70.56
2019,16,Ilhéus,69.55
2019,17,Salvador,67.78
2019,18,Vitória,67.28
2019,19,Recife,64.44
2019,20,Maceió,59.99
2019,21,Cabedelo,59.43
2019,22,Niterói,57.88
2019,23,Rio de Janeiro,57.68
2019,24,Itaguaí,56.88
2019,25,Angra dos Reis,52.77
2019,26,Pelotas,44.44
2019,27,Santana,40.37
2019,28,Porto Velho,39.98
2019,29,Forno,36.47
2019,30,Porto Alegre,31.17
2019,31,Natal,27.97
2020,1,Itajaí,99.82
2020,2,Paranaguá,99.29
2020,3,Terminal Portuário do Pecém,99.2
2020,4,São Francisco do Sul,96.95
2020,5,Itaqui,96.55
2020,6,São Sebastião,95.15
2020,7,Santos,95.12
2020,8,Santarém,90.82
2020,9,Suape,89.76
2020,10,Belém,89.14
2020,11,Imbituba,86.73
2020,12,Vila do Conde,85.93
2020,13,Aratu,84.35
2020,14,Ilhéus,83.53
2020,15,Rio Grande,83.32
2020,16,Fortaleza,79.94
2020,17,Vitória,79.23
2020,18,Recife,79.22
2020,19,Angra dos Reis,78.75
2020,20,Niterói,71.86
2020,21,Natal,70.12
2020,22,Salvador,69.83
2020,23,Maceió,67.59
2020,24,Cabedelo,64.2
2020,25,Itaguaí,62.67
2020,26,Rio de Janeiro,57.98
2020,27,Pelotas,52.7
2020,28,Porto Velho,44.68
2020,29,Forno,39.63
2020,30,Santana,39.33
2020,31,Porto Alegre,31.25
