IDResposta;CDInstalacaoPortuaria;Instalação;NOAvaliacao;NOTituloIndicadorEspecificoQuestionario;NRPeso;NOAtributoQuestionario
9;"249    ";Terminal Marítimo Luiz Fogliatto - Termasa;2015.2;Licenciamento Ambiental;15,07224371;N3
477;"226    ";Porto Itapoá Terminais Portuários;2015.2;Licenciamento Ambiental;15,07224371;N3
666;"155    ";Ibepar;2015.2;Licenciamento Ambiental;15,07224371;N3
729;"136    ";Bertolini - Santarém;2015.2;Licenciamento Ambiental;15,07224371;N3
869;"228    ";DP World Santos;2015.2;Licenciamento Ambiental;15,07224371;N3
1120;"246    ";Brasco Logística Offshore;2015.2;Licenciamento Ambiental;15,07224371;N3
13704;"168    ";Terminal Sanave de Manaus;2015.2;Licenciamento Ambiental;15,07224371;N3
14171;"150    ";Ocrim;2015.2;Licenciamento Ambiental;15,07224371;N3
12995;"326    ";Terminal Aquaviário de Barra do Riacho;2015.2;Licenciamento Ambiental;15,07224371;N3
13134;"236    ";Cosan Lubrificantes e Especialidades;2015.2;Licenciamento Ambiental;15,07224371;N3
13303;"145    ";Terminal Aquaviário de Madre de Deus;2015.2;Licenciamento Ambiental;15,07224371;N3
13578;"234    ";Terminal Privado Copelmi;2015.2;Licenciamento Ambiental;15,07224371;N3
13583;"153    ";Terminal Marítimo Privativo de Cubatão - TMPC;2015.2;Licenciamento Ambiental;15,07224371;N3
13638;"176    ";Cimento Vencemos;2015.2;Licenciamento Ambiental;15,07224371;N3
12481;"157    ";Terminal Aquaviário de Ilha Redonda e Terminal Aquaviário da Ilha Comprida;2015.2;Licenciamento Ambiental;15,07224371;N3
12556;"286    ";NULL;2015.2;Licenciamento Ambiental;15,07224371;N3
12606;"232    ";NULL;2015.2;Licenciamento Ambiental;15,07224371;N3
12645;"195    ";Porto Engenheiro Zephyrino Lavanère Machado Filho;2015.2;Licenciamento Ambiental;15,07224371;N3
12787;"266    ";Moss;2015.2;Licenciamento Ambiental;15,07224371;N3
12969;"186    ";Terminal Aquaviário do Norte Capixaba;2015.2;Licenciamento Ambiental;15,07224371;N3
11784;"332    ";Terminal de Regaiseficação de GNL da Bahia - TRBA;2015.2;Licenciamento Ambiental;15,07224371;N3
12095;"129    ";Barra do Rio Terminal Portuário;2015.2;Licenciamento Ambiental;15,07224371;N3
12122;"184    ";Terminal Aquaviário de Aracaju;2015.2;Licenciamento Ambiental;15,07224371;N3
12379;"156    ";Terminal Aquaviário da Ilha D'Água;2015.2;Licenciamento Ambiental;15,07224371;N3
12457;"237    ";Terminal J. F. de Oliveira de Belém;2015.2;Licenciamento Ambiental;15,07224371;N3
12463;"230    ";Carinhoso;2015.2;Licenciamento Ambiental;15,07224371;N3
10907;"200    ";Trocadeiro;2015.2;Licenciamento Ambiental;15,07224371;N3
11159;"459    ";Caramuru Alimentos São Simão;2015.2;Licenciamento Ambiental;15,07224371;N3
11333;"134    ";Terminal Aquaviário de São Sebastião (Almirante Barroso);2015.2;Licenciamento Ambiental;15,07224371;N3
11368;"272    ";Terminal Fluvial Caulim;2015.2;Licenciamento Ambiental;15,07224371;N3
11651;"271    ";Terminal Flexível de GNL da Baía da Guanabara;2015.2;Licenciamento Ambiental;15,07224371;N3
11722;"169    ";Terminal Portuário Privativo da Alumar;2015.2;Licenciamento Ambiental;15,07224371;N3
9531;"159    ";Belmont;2015.2;Licenciamento Ambiental;15,07224371;N3
9566;"192    ";Passarão;2015.2;Licenciamento Ambiental;15,07224371;N3
