Ano,Posição,IDA,TUP
2015,1,98.95,Portonave - Terminais Portuários de Navegantes
2015,2,91.54,Porto Itapoá Terminais Portuários
2015,3,90.84,Terminal de Praia Mole
2015,4,88.06,Terminal de Tubarão
2015,5,85.84,Terminal Portuário Privativo da Alumar
2015,6,82.71,Cattalini Terminais Marítimos
2015,7,82.23,Terminal Aquaviário de Madre de Deus
2015,8,81.95,Terminal Marítimo de Ponta da Madeira
2015,9,81.51,DP World Santos
2015,10,80.73,Terminal Marítimo Dow
2015,11,77.69,Terminal Aquaviário de São Sebastião (Almirante Barroso)
2015,12,76.52,Terminal Flexível de GNL da Baía da Guanabara
2015,13,75.59,Estaleiro Brasfels
2015,14,75.15,Companhia Portuária Vila Velha - CPVV
2015,15,74.37,Brasco Rio
2015,16,74.33,Terminal Marítimo Dow Aratu - Bahia
2015,17,74.05,Terminal de Regaiseficação de GNL da Bahia - TRBA
2015,18,70.64,CMPC Guaíba
2015,19,70.12,Portocel - Terminal Especializado de Barra do Riacho
2015,20,70.09,Cosan Lubrificantes e Especialidades
2015,21,68.98,Terminal Estaleiro Mauá
2015,22,68.97,Terminal Aquaviário da Ilha D'Água
2015,23,68.97,Terminal Aquaviário de Ilha Redonda e Terminal Aquaviário da Ilha Comprida
2015,24,68.71,Terminal Fluvial de Juruti
2015,25,68.16,Brasco Logística Offshore
2015,26,68.14,Super Terminais Comércio e Indústria
2015,27,66.52,Yara Brasil Fertilizantes
2015,28,66.34,Terminal da Ilha Guaíba - TIG
2015,29,65.63,Flexibrás Açu
2015,30,65.04,Terminal Marítimo Ponte do Thun
2015,31,64.93,Terminal Marítimo Ponta Ubu
2015,32,64.82,Terminal Aquaviário de Aracaju
2015,33,64.72,Terminal Aquaviário do Norte Capixaba
2015,34,63.49,Estaleiro Jurong
2015,35,62.64,Granel Química Ladário
2015,36,62.41,Terminal Privado Copelmi
2015,37,61.99,Teporti
2015,38,61.77,Terminal Fogás
2015,39,61.69,Poly Terminais Portuários
2015,40,61.07,Terminal Aquaviário de Barra do Riacho
2015,41,60.92,Terminal Aquaviário de Guamaré
2015,42,58.91,Terminal Marítimo Alfandegado Privativo de Uso Misto de Praia Mole
2015,43,58.55,Terminal Portuário Braskarne
2015,44,58.11,Terminal Aquaviário de Niterói
2015,45,57.84,Terminal Aquaviário de Osório
2015,46,57.72,Terminal Aquaviário de São Francisco do Sul
2015,47,57.72,Terminal de Barcaças Oceânicas
2015,48,56.18,Terminal Aquaviário Solimões - Coari
2015,49,55.81,Chibatão Navegação e Comércio
2015,50,55.25,Porto Chibatão
2015,51,54.98,Oleoplan
2015,52,54.0,Terminal Aquaviário de Manaus
2015,53,53.07,Sucocítrico Cutrale
2015,54,52.77,Caramuru Alimentos São Simão
2015,55,52.72,Terminal Integrador Portuário Luiz Antonio Mesquita - TIPLAM
2015,56,52.35,Terminal Marítimo Luiz Fogliatto - Termasa
2015,57,51.57,J. F. de Oliveira - Manaus
2015,58,51.51,Porto Engenheiro Zephyrino Lavanère Machado Filho
2015,59,50.79,Terminal Aquaviário de Angra dos Reis
2015,60,49.9,Terminal Portuário Cotegipe
2015,61,45.94,Terminal Marítimo Privativo de Cubatão - TMPC
2015,62,43.68,Terbian - Terminal Bianchini
2015,63,43.3,Terminal Fluvial Caulim
2015,64,40.27,Gerdau Aços Longos
2015,65,36.83,Trocadeiro
2015,66,35.88,Moss
2015,67,34.75,Carinhoso
2015,68,32.63,Ibepar
2015,69,32.6,Cargill Agrícola
2015,70,28.94,Cimento Vencemos
2015,71,27.11,Bertolini - Santarém
2015,72,26.51,Belmont
