CD;TipoAtributo;AtributoQuestionario;Peso;IndicadorEspecifico;CategoriaQuestionario;IndicadorGlobal;NOCategoria;Ano
249;0;N3;15,07224371;1.1.1.;1.;1.1.;Econômico-Operacionais;2015.2
249;3;Número da Licença;0;1.1.1.;1.;1.1.;Econômico-Operacionais;2015.2
249;2;Data de Expedição;0;1.1.1.;1.;1.1.;Econômico-Operacionais;2015.2
249;2;Data de Validade;0;1.1.1.;1.;1.1.;Econômico-Operacionais;2015.2
249;0;N1;0;1.1.2.;1.;1.1.;Econômico-Operacionais;2015.2
249;3;Número de Profissionais;0;1.1.2.;1.;1.1.;Econômico-Operacionais;2015.2
249;0;N3;2,090917833;1.1.3.;1.;1.1.;Econômico-Operacionais;2015.2
249;0;N3;6,440173894;1.1.4.;1.;1.1.;Econômico-Operacionais;2015.2
249;2;Data da realização da Auditoria Ambiental;0;1.1.4.;1.;1.1.;Econômico-Operacionais;2015.2
249;0;N1;0;1.2.1.;1.;1.2.;Econômico-Operacionais;2015.2
249;0;N4;7,580995149;1.2.2.;1.;1.2.;Econômico-Operacionais;2015.2
249;0;N5;4,404092577;1.2.3.;1.;1.2.;Econômico-Operacionais;2015.2
249;0;N3;3,498542077;1.3.1.;1.;1.3.;Econômico-Operacionais;2015.2
249;4;4;0;1.3.1.;1.;1.3.;Econômico-Operacionais;2015.2
249;4;4;0;1.3.1.;1.;1.3.;Econômico-Operacionais;2015.2
249;0;N1;0;1.4.1.;1.;1.4.;Econômico-Operacionais;2015.2
249;0;N1;0;1.4.2.;1.;1.4.;Econômico-Operacionais;2015.2
249;0;N1;0;1.4.3.;1.;1.4.;Econômico-Operacionais;2015.2
249;0;N2;0,589402064;1.5.1.;1.;1.5.;Econômico-Operacionais;2015.2
249;4;4;0;1.5.1.;1.;1.5.;Econômico-Operacionais;2015.2
249;0;N1;0;1.6.1.;1.;1.6.;Econômico-Operacionais;2015.2
249;0;N1;0;1.6.2.;1.;1.6.;Econômico-Operacionais;2015.2
249;0;N1;0;1.6.3.;1.;1.6.;Econômico-Operacionais;2015.2
249;0;N2;0,027957791;1.6.4.;1.;1.6.;Econômico-Operacionais;2015.2
249;0;N1;0;2.1.1.;2.;2.1.;Sociológico-Culturais;2015.2
249;4;3;0;2.1.1.;2.;2.1.;Sociológico-Culturais;2015.2
249;0;N5;2,478225063;2.2.1.;2.;2.2.;Sociológico-Culturais;2015.2
249;0;N1;0;3.1.1.;3.;3.1.;Físico-Químicos;2015.2
249;0;N4;0,247696378;3.1.2.;3.;3.1.;Físico-Químicos;2015.2
249;0;N2;0,232161534;3.1.3.;3.;3.1.;Físico-Químicos;2015.2
249;0;N4;1,36965767;3.2.2.;3.;3.2.;Físico-Químicos;2015.2
249;0;N3;0,170998791;3.3.1.;3.;3.3.;Físico-Químicos;2015.2
249;0;N3;0,367268642;3.3.2.;3.;3.3.;Físico-Químicos;2015.2
249;0;N4;4,589011489;3.4.1.;3.;3.4.;Físico-Químicos;2015.2
249;4;4;0;3.4.1.;3.;3.4.;Físico-Químicos;2015.2
249;4;4;0;3.4.1.;3.;3.4.;Físico-Químicos;2015.2
249;4;4;0;3.4.1.;3.;3.4.;Físico-Químicos;2015.2
249;0;N5;2,935374843;4.1.2.;4.;4.1.;Biológico-Ecológicos;2015.2
249;4;4;0;4.1.2.;4.;4.1.;Biológico-Ecológicos;2015.2
249;4;4;0;4.1.2.;4.;4.1.;Biológico-Ecológicos;2015.2
249;4;4;0;4.1.2.;4.;4.1.;Biológico-Ecológicos;2015.2
249;4;4;0;4.1.2.;4.;4.1.;Biológico-Ecológicos;2015.2
249;0;N2;0,25785511;4.1.1.;4.;4.1.;Biológico-Ecológicos;2015.2
249;0;N1;0;4.1.3.;4.;4.1.;Biológico-Ecológicos;2015.2
FOR    ;0;N2;0,45517014;1.2.1.;1.;1.2.;Econômico-Operacionais;2015.2
FOR    ;0;N5;11,56238481;1.2.2.;1.;1.2.;Econômico-Operacionais;2015.2
